god_name,description,mythology,godly_aspects,godly_aspects2,Img URL
Aker,A god of the earth and the horizon,Egyptian,earth,boundaries,https://upload.wikimedia.org/wikipedia/commons/1/1c/Aker.svg
Amun," A creator god, god of air",Egyptian,creator,air,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Amun_post_Amarna_%28azure_skin_color%29.svg/220px-Amun_post_Amarna_%28azure_skin_color%29.svg.png
Anhur,A god of war and hunting,Egyptian,war,hunter,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Shu.svg/1200px-Shu.svg.png
Anubis,God of the dead. Carries the dead to the judgement place of the Underworld,Egyptian,death,judgement,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Anubis_standing.svg/1200px-Anubis_standing.svg.png
Atum,"A creator god and solar deity, god of pre/post existence",Egyptian,creator,existence,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Atum.svg/1200px-Atum.svg.png
Bennu,"A solar and creator deity, associated with rebirth",Egyptian,creator,rebirth,https://upload.wikimedia.org/wikipedia/commons/0/03/Bennu_bird.svg
Geb,An earth god and member of the Ennead,Egyptian,Earth god,primordial,https://upload.wikimedia.org/wikipedia/commons/5/53/Geb.svg
Hapi,Personification of the Nile flood,Egyptian,water,flooding,https://upload.wikimedia.org/wikipedia/commons/1/1e/Hapy_tying.svg
Horus,"A major god, usually shown as a falcon or as a human child, linked with the sky, the sun, kingship, protection, and healing. Often said to be the son of Osiris and Isis.",Egyptian,sky,kingship,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Horus_standing.svg/640px-Horus_standing.svg.png
Khepri,"A solar creator god, often treated as the morning form of Ra and represented by a scarab beetle",Egyptian,creator,sun,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Khepri.svg/800px-Khepri.svg.png
Khnum ," A ram god, the patron deity of Elephantine, who was said to control the Nile flood and give life to gods and humans",Egyptian,water,birth,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Khnum.svg/1200px-Khnum.svg.png
Montu,"A god of war and the sun, worshipped at Thebes",Egyptian,war,sun,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Montu.svg/220px-Montu.svg.png
Nefertum,God of the lotus blossom from which the sun god rose at the beginning of time. Son of Ptah and Sekhmet.,Egyptian,creator,primordial,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Nefertum.svg/1200px-Nefertum.svg.png
Nemty,"Falcon god, worshipped in Middle Egypt, who appears in myth as a ferryman for greater gods",Egyptian,ferryman,,https://upload.wikimedia.org/wikipedia/commons/c/c9/Nemty.png
Neper,A god of grain,Egyptian,agriculture,harvest,https://upload.wikimedia.org/wikipedia/commons/a/a6/Nepri_%28neper%29.png
Osiris,"god of death and resurrection who rules the underworld and enlivens vegetation, and deceased souls",Egyptian,death,underworld,https://symbolsage.com/wp-content/uploads/2020/09/Osiris-god.png
Ptah,"A creator deity and god of craftsmen, the patron god of Memphis",Egyptian,creator,crafts,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Ptah_standing.svg/1200px-Ptah_standing.svg.png
Ra," Sun God, king of gods, sky god",Egyptian,god king,sky,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Re-Horakhty.svg/1200px-Re-Horakhty.svg.png
Set,"An ambivalent god, characterized by violence, chaos, and strength, connected with the desert. Murderer of Osiris and enemy of Horus",Egyptian,trickster,violence,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Set.svg/1200px-Set.svg.png
Shu,"Embodiment of wind or air, a member of the Ennead",Egyptian,air,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Shu_with_feather.svg/1200px-Shu_with_feather.svg.png
Sobek,"Crocodile god, worshipped in the Faiyum and at Kom Ombo",Egyptian,crocodiles,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sobek.svg/220px-Sobek.svg.png
Sopdu,A god of the sky and of Egypt's eastern border regions,Egyptian,sky,kingship,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Sopdu_as_a_man.webp/220px-Sopdu_as_a_man.webp.png
Thoth,"A moon god, and a god of writing and scribes, and patron deity of Hermopolis",Egyptian,moon,knowledge,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Thoth.svg/640px-Thoth.svg.png
Wadj,God of fertility,Egyptian,fertility,,https://sagesanctuary.files.wordpress.com/2022/07/wadj-wer-2.jpg
Bastet,"Goddess represented as a cat or lioness, patroness of the city of Bubastis, linked with protection from evil",Egyptian,protection,kingship,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Bastet.svg/1200px-Bastet.svg.png
Hathor," One of the most important goddesses, linked with the sky, the sun, sexuality and motherhood, music and dance, foreign lands and goods, and the afterlife. One of many forms of the Eye of Ra.",Egyptian,femininity,afterlife,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Hathor.svg/800px-Hathor.svg.png
Heqet,Frog goddess said to protect women in childbirth,Egyptian,proteciton,childbirth,https://upload.wikimedia.org/wikipedia/commons/f/f1/Abydos_Tempelrelief_Ramses_II.jpg
Hesat,cow goddess dealing with motherhood,Egyptian,motherhood,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Hathor_cow.svg/1200px-Hathor_cow.svg.png
Isis,"Wife of Osiris and mother of Horus, linked with funerary rites, motherhood, protection, and magic. She became a major deity in Greek and Roman religion.",Egyptian,protection,magic,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Isis.svg/1200px-Isis.svg.png
Maat,"Goddess who personified truth, justice, and order",Egyptian,justice,order,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Maat.svg/1200px-Maat.svg.png
Neith,"A creator and hunter goddess, patron of the city of Sais in Lower Egypt",Egyptian,creator,hunter,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Neith.svg/1200px-Neith.svg.png
Nekhbet,"A vulture goddess, the tutelary deity of Upper Egypt",Egyptian,protection,kingship,https://upload.wikimedia.org/wikipedia/commons/2/2b/Nekhbet_%28Goddess%29.png
Nephthys,"Goddess of air, head of family",Egyptian,family,air,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Nepthys.svg/1200px-Nepthys.svg.png
Nepit ," A goddess of grain, female counterpart of Neper",Egyptian,agriculture,,https://i0.wp.com/religer.org/wp-content/uploads/2022/10/Egyptian-Nepit-on-Religer.png?fit=512%2C704&ssl=1
Nut ," A sky goddess, a member of the Ennead",Egyptian,cosmos,primordial,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Nut.svg/1200px-Nut.svg.png
Renenutet ,An agricultural goddess,Egyptian,agriculture,harvest,https://static.wikia.nocookie.net/gods-goddess/images/d/d2/Renenutet.jpg/revision/latest?cb=20140928222657
Satet ,A goddess of Egypt's southern frontier regions,Egyptian,war,fertility,https://static.wikia.nocookie.net/gods_and_demons/images/e/e4/D64v9u-a863c0ea-9299-43f1-87ae-1dc9cc17b699.jpg/revision/latest?cb=20200910200058
Sekhmet ," A lioness goddess, both destructive and violent and capable of warding off disease, protector of the pharaohs who led them in war, the consort of Ptah and one of many forms of the Eye of Ra.",Egyptian,protection,destruction,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Sekhmet.svg/1200px-Sekhmet.svg.png
Tefnut ,Lioness goddess of moisture and a member of the Ennead,Egyptian,moisture,,https://upload.wikimedia.org/wikipedia/commons/8/8b/Tefnut.png
Wadjet," A cobra goddess, the tutelary deity of Lower Egypt",Egyptian,protection,kingship,https://upload.wikimedia.org/wikipedia/commons/d/da/Wadjet_%28Deity%29.png
Aphrodite,"goddess of beauty, love, desire, and pleasure",Greek,femininity,desire,https://cdn.britannica.com/62/181762-050-5DC9A4C7/Venus-Genetrix-Roman-marble-copy-statue-Callimachus-c-475-bce.jpg
Apollo,"god of music, arts, knowledge, healing, plague, prophecy, poetry, manly beauty, and archery",Greek,art,hunter,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Italy-3104_-_Apollo_%285378415112%29.jpg/220px-Italy-3104_-_Apollo_%285378415112%29.jpg
Ares,"god of courage, war, bloodshed, and violence",Greek,war,violence,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Ares_Ludovisi_Altemps_Inv8602_n2.jpg/800px-Ares_Ludovisi_Altemps_Inv8602_n2.jpg
Artemis,"virgin goddess of the hunt, wilderness, animals, the moon and young girls",Greek,moon,hunt,https://upload.wikimedia.org/wikipedia/commons/b/b7/Diana_of_Versailles.jpg
Athena,"goddess of reason, wisdom, intelligence, skill, peace, warfare, battle strategy, and handicrafts",Greek,war,knowledge,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Mattei_Athena_Louvre_Ma530_n2.jpg/1200px-Mattei_Athena_Louvre_Ma530_n2.jpg
Demeter,"goddess of grain, agriculture, harvest, growth, and nourishment",Greek,agriculture,harvest,https://upload.wikimedia.org/wikipedia/commons/a/a2/Demeter_Altemps_Inv8546.jpg
Dionysus,"god of wine, fruitfulness, parties, festivals, madness, chaos, drunkenness, vegetation, ecstasy, and the theater",Greek,wine,parties,https://cdn.britannica.com/04/186604-050-980E8365/oil-Bacchus-canvas-Caravaggio-Florence-Italy-Uffizi.jpg
Hades,god and king of the underworld and the dead,Greek,death,underworld,https://static.wikia.nocookie.net/gods_and_demons/images/d/d6/D317f73591e2565cc5617fc7d8f2c630.jpg/revision/latest?cb=20200813174647
Hephaestus,"god of fire, metalworking, and crafts",Greek,fire,crafts,https://upload.wikimedia.org/wikipedia/commons/5/53/Vulcan_Coustou_Louvre_MR1814.jpg
Hera,"queen of the gods, and goddess of marriage, women, childbirth, heirs, kings, and empires",Greek,god queen,marriage,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Hera_Campana_Louvre_Ma2283.jpg/640px-Hera_Campana_Louvre_Ma2283.jpg
Hermes,"god of boundaries, travel, communication, trade, language, thieves and writing",Greek,travel,boundaries,https://upload.wikimedia.org/wikipedia/commons/d/d0/Hermes_Ingenui_Pio-Clementino_Inv544.jpg
Hestia,"virgin goddess of the hearth, home, and chastity",Greek,chastity,home,https://upload.wikimedia.org/wikipedia/commons/a/a5/Hestia_Giustiniani.jpg
Helios,Sun god,Greek,sun,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Mengs%2C_Helios_als_Personifikation_des_Mittages.jpg/280px-Mengs%2C_Helios_als_Personifikation_des_Mittages.jpg
Poseidon,"god of the sea, rivers, floods, droughts, and earthquakes",Greek,water,earthquakes,https://www.greekmythology.com/images/mythology/poseidon_large_image_2.jpg
Zeus,"king of the gods, ruler of mount olympus, and god of the sky, weather, thunder, lightning, law, order, and justice",Greek,god king,sky,https://upload.wikimedia.org/wikipedia/commons/c/c8/Jupiter_Smyrna_Louvre_Ma13.jpg
Achlys," goddess of poisons, and the personification of misery and sadness",Greek,poison,sadness,https://static.wikia.nocookie.net/greekgoddesses/images/8/8a/Capture.png/revision/latest?cb=20131216060553
Aether,god of light and the upper atmosphere,Greek,light,atmosphere,https://upload.wikimedia.org/wikipedia/commons/f/f1/Aether_in_battle_with_a_lion-headed_Giant.jpg
Aion," god of eternity, personifying cyclical and unbounded time",Greek,eternity,time,https://upload.wikimedia.org/wikipedia/commons/4/4e/Aion_mosaic_Glyptothek_Munich_W504.jpg
Ananke," goddess of inevitability, compulsion, and necessity",Greek,inevitability,necessity,https://upload.wikimedia.org/wikipedia/commons/f/fa/Ananke_by_Platone.jpg
Chaos,personification of nothingness from which all of existence sprang,Greek,creator,primordial,https://static.wikia.nocookie.net/lovecraft/images/b/b5/Daemon_Prince_%28Internet%29.jpg/revision/latest?cb=20191005231914
Chronos," god of empirical time, sometimes equated with aion",Greek,time,primordial,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Pierre_Mignard_%281610-1695%29_-_Time_Clipping_Cupid%27s_Wings_%281694%29.jpg/1200px-Pierre_Mignard_%281610-1695%29_-_Time_Clipping_Cupid%27s_Wings_%281694%29.jpg
Erebus,god of darkness and shadow,Greek,darkness,primordial,https://static.wikia.nocookie.net/gods_and_demons/images/5/54/ErebosL.jpg/revision/latest?cb=20220316163922
Eros,god of love and attraction,Greek,attraction,love,https://upload.wikimedia.org/wikipedia/commons/c/c3/Eros_Farnese_MAN_Napoli_6353.jpg
Gaia,personification of the earth (mother earth); mother of the titans,Greek,Earth god,primordial,https://upload.wikimedia.org/wikipedia/commons/b/ba/Feuerbach_Gaea.jpg
Hemera,goddess of day,Greek,day,,https://greekgodsandgoddesses.net/wp-content/uploads/2018/06/Hemera.jpg
Hypnos,god of sleep,Greek,sleep,,https://www.theoi.com/image/N13.1Hypnos.jpg
Nemesis,goddess of retribution,Greek,vengeance,,https://upload.wikimedia.org/wikipedia/commons/2/28/Statue_Nemesis_Louvre_Ma4873.jpg
Nesoi,goddesses of islands,Greek,islands,,https://ancientgreecereloaded.com/blog/uploads/images/202012/image_750x_5fcbf8b0a40c6.jpg
Nyx,goddess of night,Greek,night,,https://static.wikia.nocookie.net/gods_and_demons/images/9/94/Jeremy-chong-nyx-final-post.jpg/revision/latest?cb=20200720152238
Ourea,gods of mountains,Greek,mountains,,https://greekgodsandgoddesses.net/wp-content/uploads/2018/06/Ourea.jpg
Tartarus," god of the deepest, darkest part of the underworld, the tartarean pit (which is also referred to as tartarus itself)",Greek,underworld,primordial,https://static.wikia.nocookie.net/gods_and_demons/images/0/05/C8ab8006834a27d5dbe92c1ebbff43cfe914321br1-878-910v2_hq.jpg/revision/latest?cb=20200713141623
Thanatos,god of death,Greek,death,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Column_temple_Artemis_Ephesos_BM_Sc1206_n3.jpg
Uranus,god of the heavens (father sky); father of the titans,Greek,sky,primordial,https://upload.wikimedia.org/wikipedia/commons/4/4e/Aion_mosaic_Glyptothek_Munich_W504.jpg
Morpheus,god of dreaming,Greek,dreams,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Restout_-_Morpheus.jpg
Nike,goddess of victory,Greek,victory,,https://cdn.britannica.com/19/9819-050-394B49CF/sculpture-Nike-vessel-city-Greek-Italy-British.jpg
Kratos,"god of strength, might, power, and sovereign rule",Greek,power,,https://upload.wikimedia.org/wikipedia/en/6/60/Kratos_PS4.jpg
Persephone,goddess of agriculture,Greek,agriculture,,https://upload.wikimedia.org/wikipedia/commons/c/ce/AMI_-_Isis-Persephone.jpg
Aegir ,Norse God of the sea. Married to Ran and lives under the waves near the island of Hlesey.,Norse,water,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Molin5.jpg/220px-Molin5.jpg
Balder ,Son of Odin and Frigg. Known as a gentle and wise god. Killed accidentally by his brother Hod. Will return after Ragnarok.,Norse,wisdom,,https://cdn.shopify.com/s/files/1/0142/5765/1776/files/Baldr-edit-400x578_11923436-3216-48c7-bb9a-b7e5d8c52175_large.jpg?v=1561070902
Bor ," Son of Buri and father of Odin, Vili and Ve.",Norse,,primordial,https://ivaldisonsforge.com/cache/cache_image/3/37c2bc739d843a41e6d40f750541e195.png
Bragi ,The Norse God of poetry and eloquence. Son of Odin and husband of Idun.,Norse,art,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Idunn_and_Bragi_by_Blommer.jpg
Buri ,Ancestor of the Norse gods. Created by the cow Audmula licking him from ice.,Norse,,primordial,https://static.wikia.nocookie.net/the-demonic-paradise/images/4/45/9a6b81bb0b2ea0a2b853ade7312e30f2.jpg/revision/latest?cb=20200530231749
Day ,Son of Night and Delling. Said to ride around the earth on his horse Skinfaxi.,Norse,day,,https://berloga-workshop.com/upload/userfiles/Viking%20gods/Dagr/2.jpg
Earth ,Daughter of Night and Annar.,Norse,Earth Goddess,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Geb_-_God_of_the_Earth.svg/226px-Geb_-_God_of_the_Earth.svg.png
Eir ,Goddess of healing,Norse,healing,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Mengl%C3%B6%C3%B0_and_Nine_Maidens_by_Froelich.jpg/300px-Mengl%C3%B6%C3%B0_and_Nine_Maidens_by_Froelich.jpg
Forseti ,God of Justice. Son of Balder and Nanna.,Norse,,judgement,https://mythologysource.com/wp-content/uploads/2020/11/forseti.png
Freyja ,Main goddess of the Vanir (fertility gods). Daughter of Njord and sister of Freyr.,Norse,fertility,,https://static.wikia.nocookie.net/gods_and_demons/images/9/90/Freya_by_irenhorrors_dcc5lfn-fullview.jpg/revision/latest?cb=20210926050030
Freyr ,Important god of the Vanir. Son of Njord and brother of Freyja.,Norse,fertility,,https://static.wikia.nocookie.net/gods_and_demons/images/d/de/Frey.jpg/revision/latest?cb=20210910010548
Frigga ,Main goddess. Wife of Odin and mother of Balder.,Norse,god queen,,https://www.ancient-origins.net/sites/default/files/field/image/queen-Frigg.jpg
Gefion ,Fertility goddess. Associated with the plow. Tricked the king of Sweden out of a tract of his land.,Norse,fertility,,https://miro.medium.com/max/1200/1*t_pe5iiaEeFf7q8sWT7gQw.png
Heimdall ," Watchman of the Norse gods and owner of the horn Gjall. Son of nine mothers. Often identified with Rig, the creator of three races of men.",Norse,creator,,https://www.worldhistory.org/img/r/p/500x600/13574.jpg?v=1616516106
Hel ," ruler of Helheim, the realm of the dead",Norse,underworld,,https://static.wikia.nocookie.net/darkpictures/images/4/4f/Hel_-_Goddess_of_the_Dead.jpg/revision/latest?cb=20200722025743
Idun ,Guardian of the golden apples of youth,Norse,youth,,https://www.worldhistory.org/img/r/p/500x600/14599.jpg?v=1639805401
Kvasir ,the wisest. Created from the spittle of the gods.,Norse,wisdom,,https://norse-mythology.org/wp-content/uploads/2018/07/Kvasir.jpg
Lofn ,Goddess of ilicit unions.,Norse,infidelity,,https://static.wikia.nocookie.net/almightyjohnsons/images/3/3d/Lofn.jpg/revision/latest?cb=20161014200538
Loki ," The sly, trickster of the Norse gods. Son of two giants. Also known as the Sly One, the Trickster, the Shape Changer and the Sky Traveller. Becomes increasingly more evil. He is responsible for the death of Balder. Bound until Ragnarok.",Norse,trickster,,https://static.wikia.nocookie.net/muc/images/d/d6/Loki.jpeg/revision/latest?cb=20180710153613
Mimir ," Wise Aesir god. Sent to the Vanir to seal the truce between the two groups of the Norse gods. Killed by the Vanir, his head is kept by Odin.",Norse,wisdom,knowledge,https://static.wikia.nocookie.net/p__/images/7/7d/773c92445688c0a44ae2d691f1da2403.jpg/revision/latest?cb=20190306134246&path-prefix=protagonist
Modgud ,Maiden guardian of the bridge over the river Gjoll in Jotenheim.,Norse,protection,,https://i.pinimg.com/originals/c0/07/5e/c0075ec9f6355092a47f96c67761b3c8.jpg
Moon ,Son of Mundilfari. Guides the moon on it’s course.,Norse,moon,,https://static.tvtropes.org/pmwiki/pub/images/lunar_celestial_liesel.png
Night ,Daughter of Narvi and mother of Day. Rides around the earth on her horse Hrimfaxi.,Norse,night,,https://upload.wikimedia.org/wikipedia/commons/d/db/Peter_Nicolai_Arbo_-_Natten_-_Nasjonalmuseet_-_NG.M.03666.jpg
Njord ,A Vanir god associated with wind and sea. Husband of Skadi and father of Freyja and Freyr.,Norse,water,air,https://cdn.shopify.com/s/files/1/0579/6426/5517/articles/njord_1600x.jpg?v=1651923587
Norns ," Urd “fate”, Skuld “being” and Verandi “necessity”. Three goddesses of destiny.",Norse,destiny,,https://cdn.shopify.com/s/files/1/0078/0530/4890/files/received_373759250199355_large.jpeg?v=1561606214
Odin ," King of the Norse Gods, God of poetry, battle and death. Chief god of the Aesir. Also known as the “all father”, the “terrible one”",Norse,god king,battle,http://cdn.shopify.com/s/files/1/1879/3511/articles/odin_mythology_ravens_gods_paganism_1024x1024.jpg?v=1560932544
Sjofn ,Goddess of human passion.,Norse,,desire,https://static.wikia.nocookie.net/mythology/images/e/ee/Sj%C3%B6fn%2C_Goddess_of_Love.jpg/revision/latest?cb=20170115221002
Skadi ,Goddess of Winter and of the Hunt,Norse,winter,hunt,https://static.wikia.nocookie.net/smite_gamepedia/images/5/58/SkinArt_Skadi_Default.jpg/revision/latest/scale-to-width-down/250?cb=20160310005547
Sun ,Daughter of Mundilfari and guide of the sun.,Norse,sun,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Sun_god_Ra.svg/130px-Sun_god_Ra.svg.png
Syn ,Goddess of the accused at trial.,Norse,,judgement,https://surflegacy.net/wp-content/uploads/2022/05/syn-goddess-1200x1200.png
Thor ," God of Sky, thunder and fertility. Associated with law and order in Asgard and guardian of the Norse gods. Son of Odin and Earth and husband of Sif. Also known as the “thunder god” and “charioteer”.",Norse,sky,judgement,https://upload.wikimedia.org/wikipedia/commons/c/c5/M%C3%A5rten_Eskil_Winge_-_Tor%27s_Fight_with_the_Giants_-_Google_Art_Project.jpg
Tyr ,War god. Son of Odin who sacrificed his hand in the binding of Fenrir.,Norse,war,,https://thenorsegods.com/wp-content/uploads/2008/09/tyr.jpg
Ull ,God of archery and skiing.,Norse,skiing,hunt,https://static.wikia.nocookie.net/dungeonsdragons/images/c/cc/Uller_p197.jpg/revision/latest?cb=20191025173549
Vali ,Son of Odin and the giantess Rind. Conceived to avenge the death of Balder.,Norse,vengeance,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Wali_by_C._E._Doepler.jpg
Var ,Goddess of marriage oaths.,Norse,,marriage,https://lh3.googleusercontent.com/-i-vvm8KZszE/TopqvCpwI0I/AAAAAAAACDk/C6vcslt9OeM/Goddess%252520Var.jpg
Vidar ,Son of Odin and the giantess Grid who will avenge Odin’s death after Ragnarok.,Norse,vengeance,,https://upload.wikimedia.org/wikipedia/commons/9/95/Vidar_by_Collingwood.jpg
Vor ,Goddess who knows all.,Norse,wisdom,knowledge,https://cdna.artstation.com/p/assets/images/images/014/160/190/large/anastasia-vor-god-is-a-woman.jpg?1542741190